category_name,category_url,section_name,section_url,image,title,developer,gender,rating,price,average_rating,gallery,description,eligible,updated,size,installs,current_version,content_rating,interactive_elements,in_app_products,permissions,report,offered_by
Dating,https://play.google.com/store/apps/category/DATING,Top free,https://play.google.com/store/apps/collection/cluster?clp=0g4eChwKFnRvcHNlbGxpbmdfZnJlZV9EQVRJTkcQBxgD:S:ANO1ljJ0qxs&gsr=CiHSDh4KHAoWdG9wc2VsbGluZ19mcmVlX0RBVElORxAHGAM%3D:S:ANO1ljJvMRw,https://play-lh.googleusercontent.com/2KZDY639Lcr7n8UYkr32ro2Q2IdccC9C8iu-_HaozpcnCcg1FQyhuisuUwzSvztbqhh1=s180,Dating and Chat - SweetMeet,SweetMeet,SweetMeet,"107,643",0,4.1,"https://play-lh.googleusercontent.com/C-IQZW-b4FpdN3um7XM8dBErtuo0i992HU65V9MwRAlsWxZIxr7QCkQqvMMqwwmYGmM=w720-h310,https://play-lh.googleusercontent.com/unbUSw0iVEL9dWhuEYy9kgTk985ptRkEPm5yTbEZkBInmHMlespPaevUECkCvJbsKsom=w720-h310,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Sweet Meet,,"August 12, 2021",64M,"10,000,000+",1.16.03,Rated for 18+,"Users Interact, Shares Location, Digital Purchases","₫11,000 - ₫2,600,000 per item",View details,Flag as inappropriate,SweetMeet
Dating,https://play.google.com/store/apps/category/DATING,Top free,https://play.google.com/store/apps/collection/cluster?clp=0g4eChwKFnRvcHNlbGxpbmdfZnJlZV9EQVRJTkcQBxgD:S:ANO1ljJ0qxs&gsr=CiHSDh4KHAoWdG9wc2VsbGluZ19mcmVlX0RBVElORxAHGAM%3D:S:ANO1ljJvMRw,https://play-lh.googleusercontent.com/CCIDhbzOEqePX8Z6PQ0ui3OW2m9V48bVq3BolT9JZNzfLP6LTXG5Q9VjsnNqZtyVjF8=s180,Bí Kíp Thả Thính,GarconLab,GarconLab,116,0,4.4,"https://play-lh.googleusercontent.com/ugTvTjqs8nvj17LVUDQaxv-MZwIbjHsTbcBoahqc38rb_Y_-aQwojLyPgiabDleZxQ=w720-h310,https://play-lh.googleusercontent.com/-aJ8VQsXJB_RGuF_ZCXSzvGqaObyqqF2NZsbOu3DZUuaW4AApMKtG7DBp_5p3VCFeAE=w720-h310,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Bí Kíp Thả Thính - Ứng dụng sưu tầm những câu thả thính hay, đa dạng và nhiều chủ đề, giúp bạn dễ dàng tìm ý tưởng phù hợp cho riêng mình.",,"March 14, 2021",6.0M,"10,000+",1.2,Rated for 12+,Users Interact,,View details,Flag as inappropriate,GarconLab
Dating,https://play.google.com/store/apps/category/DATING,Top free,https://play.google.com/store/apps/collection/cluster?clp=0g4eChwKFnRvcHNlbGxpbmdfZnJlZV9EQVRJTkcQBxgD:S:ANO1ljJ0qxs&gsr=CiHSDh4KHAoWdG9wc2VsbGluZ19mcmVlX0RBVElORxAHGAM%3D:S:ANO1ljJvMRw,https://play-lh.googleusercontent.com/iCrAL9BVVObnO4SVReWnW3GuurB46cqR-ZZu-KSt59VAYAXfi-OLYCZeLnxpZQ8Sw7c=s180,Người Lạ Ơi,OriginallyUS.SG - Award Winning App Consultancy,OriginallyUS.SG - Award Winning App Consultancy,271,0,2.2,"https://play-lh.googleusercontent.com/O2t5btTjTG2jOjWGd5lW4VhMWxpB9jTEsZgi6VcVShAMIVE0TDLRE_D05Vop-Sm29w=w720-h310,https://play-lh.googleusercontent.com/EmBcfWZ8ujxf27QBngWWWq3nAgmrF93DrMc0n6TQOBoI-_v9YBzZFR50b_eyQrSKHw=w720-h310,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Lần cuối cùng bạn gặp gỡ với 1 người lạ là khi nào nhỉ?,,"June 28, 2021",13M,"10,000+",1.9,Rated for 18+,Users Interact,,View details,Flag as inappropriate,OriginallyUS.SG - Award Winning App Consultancy
Dating,https://play.google.com/store/apps/category/DATING,Top free,https://play.google.com/store/apps/collection/cluster?clp=0g4eChwKFnRvcHNlbGxpbmdfZnJlZV9EQVRJTkcQBxgD:S:ANO1ljJ0qxs&gsr=CiHSDh4KHAoWdG9wc2VsbGluZ19mcmVlX0RBVElORxAHGAM%3D:S:ANO1ljJvMRw,https://play-lh.googleusercontent.com/nQd3PUgGAjKRPz2_Pm9621txOkjtU-IBk38RvxR9Dm6XBwFtBAjbRvv7SIqBgOPfiZ2h=s180,Bạn Muốn Hẹn Hò,HaVa Company,HaVa Company,106,0,3.4,"https://play-lh.googleusercontent.com/ImSQKPbSTcbPgymr1sOy7fi9Mg-bXnVZfch_Y9kGL4PWCRJJzJ4wwMyNCWjx8AFBVQ=w720-h310,https://play-lh.googleusercontent.com/SoC0bVZCz9SH2aKaEFJoQ_R_pOHckxmLwuWlE2EgzBRhwouJfqXT7mDsFPUohKgmeA=w720-h310,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","🍀 Bạn Muốn Hẹn Hò là ứng dụng hoàn toàn miễn phí, với các chức năng hấp dẫn như: ",,"August 17, 2021",19M,"10,000+",52.0,Rated for 18+,"Users Interact, Shares Location",,View details,Flag as inappropriate,HaVa Company
Dating,https://play.google.com/store/apps/category/DATING,Top free,https://play.google.com/store/apps/collection/cluster?clp=0g4eChwKFnRvcHNlbGxpbmdfZnJlZV9EQVRJTkcQBxgD:S:ANO1ljJ0qxs&gsr=CiHSDh4KHAoWdG9wc2VsbGluZ19mcmVlX0RBVElORxAHGAM%3D:S:ANO1ljJvMRw,https://play-lh.googleusercontent.com/5907uSHiyLPfulQJEjlGrBWYuPL-DYlhSQlpyFbKWH3Hj5i3vCGy6nT3LnY93aFo_k7m=s180,Chatlox - Online Girls Video Chat,Chatlox,Chatlox,"2,311",0,3.9,"https://play-lh.googleusercontent.com/gHvL4so26GNY-TzzZ00ZbLZ4k11Vq4tMb0fo29tyVCHZoISQkS1U34y43TUkFr0f7Q=w720-h310,https://play-lh.googleusercontent.com/PrwtiJN3sVL5FpW56XLVGA4l-k7CCIuKwwXBMRpX69NXyayNqnA2JSJe0At1G2y_rig=w720-h310",Chatlox is a video chat and free chat app to talk to girls around you. Want to start video chat or live chat with girls? Start free chat without creating an account! You can start a video chat with girls around you with just one tap. Meet new people around you and chat!,,"July 20, 2021",7.4M,"100,000+",1.3,Rated for 18+,"Users Interact, In-App Purchases","₫153,000 per item",View details,Flag as inappropriate,Chatlox
Dating,https://play.google.com/store/apps/category/DATING,Top free,https://play.google.com/store/apps/collection/cluster?clp=0g4eChwKFnRvcHNlbGxpbmdfZnJlZV9EQVRJTkcQBxgD:S:ANO1ljJ0qxs&gsr=CiHSDh4KHAoWdG9wc2VsbGluZ19mcmVlX0RBVElORxAHGAM%3D:S:ANO1ljJvMRw,https://play-lh.googleusercontent.com/0nAxQF6FfaT7Kzpn92y0HQMr4zVtM1AjHRMmt1n6fzH7mehIwzTGQSCzuzR6P3uXLw0=s180,Hot Live,HotLive,HotLive,331,0,3.3,"https://play-lh.googleusercontent.com/d2ApOM7DWr648YMjWzW2lt37h0o3BagQS1sF0q7HmjkFD_9XgSQQTsA8EggOG5N7prw=w720-h310,https://play-lh.googleusercontent.com/yLB2-vSt1fGV034hKxqSMjSuRhWwY6tInVfq1rrm3MElHqYpabgkCCg1hNxgmX959Rs=w720-h310,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Are you bored? Would you like to meet new people with random video chat? HOTLIVE is the app you’re looking for!,,"January 16, 2021",56M,"100,000+",1.0.2,Rated for 18+,"Users Interact, Shares Location, In-App Purchases","₫23,000 - ₫2,150,000 per item",View details,Flag as inappropriate,HotLive
Dating,https://play.google.com/store/apps/category/DATING,Top free,https://play.google.com/store/apps/collection/cluster?clp=0g4eChwKFnRvcHNlbGxpbmdfZnJlZV9EQVRJTkcQBxgD:S:ANO1ljJ0qxs&gsr=CiHSDh4KHAoWdG9wc2VsbGluZ19mcmVlX0RBVElORxAHGAM%3D:S:ANO1ljJvMRw,https://play-lh.googleusercontent.com/QwvVKRBZSBhiGFVsbrZ7aGmj_Bw3w0MMgZgwBWqOMxNxa72GcKS-8saAcCn23e1TBg4=s180,DuyenSo - Free dating & chat app,Duyenso.com,Duyenso.com,432,0,3.3,"https://play-lh.googleusercontent.com/093KOC14p3Yb6s9BvJisyuR6cBOetQQExKFKePReYNIATsIZm59-zfxLo2VsRBlYXNuo=w720-h310,https://play-lh.googleusercontent.com/t6G03vXIn6irJyohgl8qT_6CsFiOZnGUy5HMQ9fEiXRQfY48mZy-sKSIlXW8lvTdl1Q=w720-h310,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","DuyenSo (Duyên Số) is the best free dating app,  especially for Vietnamese people all around the world, to chat, make friends, meet new people, find love and relationships… Thousands of new people join us every day. Thousands couples are matched and find their love every day.",,"December 20, 2017",8.5M,"100,000+",2.8,Rated for 18+,"Users Interact, Digital Purchases","₫20,000 - ₫500,000 per item",View details,Flag as inappropriate,Duyenso.com
Dating,https://play.google.com/store/apps/category/DATING,Top free,https://play.google.com/store/apps/collection/cluster?clp=0g4eChwKFnRvcHNlbGxpbmdfZnJlZV9EQVRJTkcQBxgD:S:ANO1ljJ0qxs&gsr=CiHSDh4KHAoWdG9wc2VsbGluZ19mcmVlX0RBVElORxAHGAM%3D:S:ANO1ljJvMRw,https://play-lh.googleusercontent.com/7l76uAjouNBhybYAaXZU7_-jZS0T6cqDWtkTrA006h-hpECk2NsrYv6x9txQGZ9O_7g=s180,Waodate - App hẹn hò,NDN.Ltd,NDN.Ltd,320,0,3.3,"https://play-lh.googleusercontent.com/Y8PjADx6lcAb5Q87qmoRc1-Dzm1bL-6gAHRKQDwsFQfa2X71Pfj14fQs4YksEfhNed8=w720-h310,https://play-lh.googleusercontent.com/axzmcZMeMMCkegm7W7jUpWVz6mn9yFMnb19F_KjvMA3xg-93aRBay6hbZc_SbVCZag=w720-h310,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",✔ TẠI SAO BẠN NÊN CHỌN Waodate ĐỂ HẸN HÒ?,,"August 7, 2021",36M,"50,000+",4.0.9,Rated for 18+,"Users Interact, Shares Location, In-App Purchases",,View details,Flag as inappropriate,NDN.Ltd
Dating,https://play.google.com/store/apps/category/DATING,Top free,https://play.google.com/store/apps/collection/cluster?clp=0g4eChwKFnRvcHNlbGxpbmdfZnJlZV9EQVRJTkcQBxgD:S:ANO1ljJ0qxs&gsr=CiHSDh4KHAoWdG9wc2VsbGluZ19mcmVlX0RBVElORxAHGAM%3D:S:ANO1ljJvMRw,https://play-lh.googleusercontent.com/pI0XCo_SKnngwcfYED5xOIRcvG0IqsdUPXau9ERV70SUcOyjxR347v9yuJCmHpqEZg=s180,Dating for serious relationships - Evermatch,Evermatch,Evermatch,"49,235",0,4.1,"https://play-lh.googleusercontent.com/cwNWlkBdXf07pTHQqdCCUIK3FMScR864mVqG75JhB_D_3001YrPLXUlf1UIQnlDcjQ=w720-h310,https://play-lh.googleusercontent.com/9TLeqV8xSJc-WQ0-Qzjj8PO5v5IiT6CKCj-QPDDG-4sQ9Mp1yETqHZ0FFfM43bNvCqkj=w720-h310,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",We created our App for people who are looking for the perfect partner for a serious relationship and settling down.,,"August 17, 2021",27M,"10,000,000+",1.1.20,Rated for 18+,"Users Interact, Shares Location, In-App Purchases","₫23,000 - ₫1,850,000 per item",View details,Flag as inappropriate,Evermatch
Dating,https://play.google.com/store/apps/category/DATING,Top free,https://play.google.com/store/apps/collection/cluster?clp=0g4eChwKFnRvcHNlbGxpbmdfZnJlZV9EQVRJTkcQBxgD:S:ANO1ljJ0qxs&gsr=CiHSDh4KHAoWdG9wc2VsbGluZ19mcmVlX0RBVElORxAHGAM%3D:S:ANO1ljJvMRw,https://play-lh.googleusercontent.com/tH2ui3MqYnTyt7EG9S3DVNDO7SV7eRtts2phjaE-vZNBvf4meAx5_a5LZc_IbZGAFw=s180,"Bumble – Dating, Make New Friends & Networking",Bumble Holding Limited,Bumble Holding Limited,"255,837",0,3.2,"https://play-lh.googleusercontent.com/G8bvqcWFcO-umC05l-Wab8nmulU3YvoXpXcv3LWR3L8bAaGJMJjcSAL8ibIyk_EwJtA=w720-h310,https://play-lh.googleusercontent.com/I6Xdm9Bvs2l6tuIvs6XDgfx8IMZU_OqyGPJxy8MSMbBcZjZVhHK31eyPK0auOmWdxY0=w720-h310,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==","Millions of people have signed up to Bumble to find dates, make new friends, and meet new people.",,"August 17, 2021",86M,"10,000,000+",5.232.1,Rated for 18+,"Users Interact, Shares Location, In-App Purchases","₫14,000 - ₫4,750,000 per item",View details,Flag as inappropriate,Bumble Holding Limited
Dating,https://play.google.com/store/apps/category/DATING,Top free,https://play.google.com/store/apps/collection/cluster?clp=0g4eChwKFnRvcHNlbGxpbmdfZnJlZV9EQVRJTkcQBxgD:S:ANO1ljJ0qxs&gsr=CiHSDh4KHAoWdG9wc2VsbGluZ19mcmVlX0RBVElORxAHGAM%3D:S:ANO1ljJvMRw,https://play-lh.googleusercontent.com/uZv9fnGtJG_aldSRI9hD52P_HZOdPmyffHAG1q8wdhJvmBCqNdrbSX9nKwi-gGwPEOU=s180,"Goodnight - Voice, Random, Call, Match, Chat Free",Goodnight,Goodnight,"78,819",0,3.9,"https://play-lh.googleusercontent.com/l0WpgYWsATkeyYmVE9HXdVLfeIlzukuaMRfHpg-Vncf6IveausUh2NQCXfj3GvKAYCch=w720-h310,https://play-lh.googleusercontent.com/c_XbGjcnIZ5pe340fw-Ibabcx57mvbDSC85c19BUQOmj1NG8HG5IcjC4IdNS3jo_WLTN=w720-h310,https://play-lh.googleusercontent.com/EX45BnhHXyg86faiIdGpBtKCZPA91up51IbXyNYmAAK-pmUc4dGxDI11QjZBJlJfaX-H=w720-h310,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",🎊Download the App for free🎊,,"August 6, 2021",94M,"5,000,000+",1.249.0,Rated for 18+,"Users Interact, Shares Location","₫17,000 - ₫9,000,000 per item",View details,Flag as inappropriate,Goodnight
Dating,https://play.google.com/store/apps/category/DATING,Top free,https://play.google.com/store/apps/collection/cluster?clp=0g4eChwKFnRvcHNlbGxpbmdfZnJlZV9EQVRJTkcQBxgD:S:ANO1ljJ0qxs&gsr=CiHSDh4KHAoWdG9wc2VsbGluZ19mcmVlX0RBVElORxAHGAM%3D:S:ANO1ljJvMRw,https://play-lh.googleusercontent.com/c9SekQWKfZpH_pTJuC9tqtOV7zncFBzeFS0wZMj8glkIWWSiA_U5Rx9dWiINtjSMAjw=s180,"BLOOM, Meet Singles. Find Love",Joyride GmbH,Joyride GmbH,"413,648",0,4.5,"https://play-lh.googleusercontent.com/4pJkdQUdlz1XFK-YiqPPPxvpj5LyKz1S9URCx8Um7hi12ZxpgWmoFz-Dt6OO_ZyhBZrJ=w720-h310,https://play-lh.googleusercontent.com/_nSHl81smoh0ORjfzSP0DJEh5OqbmkERaHJn6p3isTg19E46Mk8akghLVHobeFAumT8i=w720-h310,https://play-lh.googleusercontent.com/dPelzCrbNnltsrZWJu-YrdYbd5bCfmjSp4riSChBmAVJuvZNZaZsDAcrk2eZt8dxjnY=w720-h310",❤️ Best Dating App for Singles,,"August 16, 2021",61M,"10,000,000+",8.16.4,Rated for 18+,"Users Interact, Shares Location, Digital Purchases","₫24,999 - ₫7,317,999 per item",View details,Flag as inappropriate,Joyride GmbH
Dating,https://play.google.com/store/apps/category/DATING,Top free,https://play.google.com/store/apps/collection/cluster?clp=0g4eChwKFnRvcHNlbGxpbmdfZnJlZV9EQVRJTkcQBxgD:S:ANO1ljJ0qxs&gsr=CiHSDh4KHAoWdG9wc2VsbGluZ19mcmVlX0RBVElORxAHGAM%3D:S:ANO1ljJvMRw,https://play-lh.googleusercontent.com/9e_yquWdwXT05gKGvX-KBR-3ksZvYkDCQVue-9auMuhOOCUv6rIghgJwtZjEK4HNEQ=s180,"YmeetMe: Chat hẹn hò, làm quen tìm người yêu",MMJ Vietnam,MMJ Vietnam,"18,431",0,4.2,"https://play-lh.googleusercontent.com/LFp6RKlNBXOskqBQrYT6hdw0vyEUh3Fj7wvg51FVx1FyQoFcMs-xxWltCCyNDV_tF1RJ=w720-h310,https://play-lh.googleusercontent.com/wdu78jjJHU7ULzExsPA-S-DYdlwVAQDvstLbMOjoF0N-8jEdGXFcQkCNFdn35UuSnaV-=w720-h310,https://play-lh.googleusercontent.com/ajCAPgvmGJc8A3hC9uX69vMCmjY5w6dOhfwPUBtNPZGx3KJbeU8avxqbSn-fqiNM1rU=w720-h310,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==,data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",YmeetMe ra đời với một mục tiêu duy nhất là kết nối và mang lại hạnh phuc thật sự cho những người độc thân. ,,"August 13, 2021",41M,"1,000,000+",9.1,Rated for 18+,"Users Interact, In-App Purchases","₫50,000 - ₫594,000 per item",View details,Flag as inappropriate,MMJ Vietnam
